subject,pattern,pat_prblty,cue1,cue2,cue3,cue4,start_time,RT,trial_outcome,response,accuracy
6200,3,0.923,1,2,0,0,837157.1311931,837158.8944216,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837163.1765231,0,1,0
6200,7,0.895,1,0,0,0,837157.1311931,837165.4610697,1,1,1
6200,8,0.105,0,2,3,4,837157.1311931,837167.2613566,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837169.7779521,0,1,0
6200,9,0.5,0,2,3,0,837157.1311931,837172.2440547,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837174.3611779,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837176.8945584,1,0,0
6200,3,0.923,1,2,0,0,837157.1311931,837179.8600499,1,0,0
6200,1,0.895,1,2,3,0,837157.1311931,837181.694511,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837183.977995,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837186.2611776,1,1,1
6200,13,0.444,0,0,3,0,837157.1311931,837188.3614019,1,1,1
6200,5,0.833,1,0,3,0,837157.1311931,837191.5769931,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837193.6447823,0,0,1
6200,6,0.5,1,0,0,4,837157.1311931,837195.5112978,1,1,1
6200,4,0.222,1,0,3,4,837157.1311931,837197.544737,0,1,0
6200,8,0.105,0,2,3,4,837157.1311931,837199.6112616,0,1,0
6200,1,0.895,1,2,3,0,837157.1311931,837202.6613319,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837204.8449142,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837207.0945043,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837209.3114137,0,0,1
6200,2,0.778,1,2,0,4,837157.1311931,837211.7768258,0,1,0
6200,10,0.167,0,2,0,4,837157.1311931,837214.377856,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837216.9431899,1,0,0
6200,6,0.5,1,0,0,4,837157.1311931,837219.2278912,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837221.3780155,0,0,1
6200,11,0.556,0,2,0,0,837157.1311931,837224.0434928,0,1,0
6200,7,0.895,1,0,0,0,837157.1311931,837226.2932746,1,1,1
6200,4,0.222,1,0,3,4,837157.1311931,837230.9283927,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837233.477237,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837235.9933195,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837239.7935422,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837242.1105279,1,1,1
6200,2,0.778,1,2,0,4,837157.1311931,837244.5102089,1,1,1
6200,14,0.105,0,0,0,4,837157.1311931,837246.6103183,0,0,1
6200,8,0.105,0,2,3,4,837157.1311931,837248.8766986,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837250.8946318,0,1,0
6200,8,0.105,0,2,3,4,837157.1311931,837254.461397,1,0,0
6200,14,0.105,0,0,0,4,837157.1311931,837256.2612488,0,0,1
6200,5,0.833,1,0,3,0,837157.1311931,837260.0433775,1,0,0
6200,9,0.5,0,2,3,0,837157.1311931,837262.6945374,1,0,0
6200,2,0.778,1,2,0,4,837157.1311931,837268.5279522,1,1,1
6200,12,0.077,0,0,3,4,837157.1311931,837270.7280561,0,0,1
6200,6,0.5,1,0,0,4,837157.1311931,837272.61125,0,1,0
6200,2,0.778,1,2,0,4,837157.1311931,837275.5613686,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837277.561483,0,0,1
6200,13,0.444,0,0,3,0,837157.1311931,837279.494775,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837282.0603609,0,1,0
6200,10,0.167,0,2,0,4,837157.1311931,837284.2449555,1,0,0
6200,3,0.923,1,2,0,0,837157.1311931,837287.2112392,1,1,1
6200,10,0.167,0,2,0,4,837157.1311931,837291.6111439,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837293.7280031,1,1,1
6200,2,0.778,1,2,0,4,837157.1311931,837296.8934766,1,1,1
